Name,FT,FT,PT,PT,MAE,MAE,MSE,MSE,MAPE,MAPE,ME,ME,i
Param,Mean,Std,Mean,Std,Mean,Std,Mean,Std,Mean,Std,Mean,Std,
"MLP[y,qACId(6)]",25.902955293655396,0.0,0.0004030841306723592,2.2392074675627954e-05,0.5867913531133827,0.3363651267175667,1.339550256055886,1.2899792580646845,245537830431395.16,247637345685139.7,3.814896162051154,2.0457975107428,4
"LR(12)[SolarDay%,qACId(6)]",0.818875789642334,0.0,0.0005301499433172114,0.00012705706812723308,0.5729891631113456,0.2992345286828815,1.3586305322130152,1.2356660792254035,246125222998225.56,739088760853001.5,3.530764768539084,1.5463215248053452,4
"LR(6)[SolarDay%,qACId(6)]",0.133528470993042,0.0,0.0003193945605774776,9.516024437815614e-06,0.5778606855726719,0.30235052509220134,1.3588516581365595,1.2466255565248856,245854414930003.25,737412739480571.6,3.5155337815448435,1.5365444438414677,4
"DT[SolarDay%,qACId(6)]",0.2033379077911377,0.0,0.0002668428553844229,2.9943780283868508e-05,0.7328916622760421,0.3847141000229772,2.7462063625939743,1.8750139568487654,218597194128050.28,707553231544486.6,6.757799429928579,2.049186538508681,4
"RF[SolarDay%,qACId(6)]",11.353610277175903,0.0,0.011672929800984588,0.0021307309378547756,0.6406581053571666,0.32885416234074005,1.9722921018750748,1.4558930738378055,225124111566273.8,716068742819473.0,5.751977893790221,1.6112501331800793,4
"tf::LSTM(10,10)[y,qACId(6)]*n=10,step=2",16.27685308456421,0.0,0.053250092981917616,0.06130598703592393,0.6064443954107014,0.4103876506610514,1.6636375432585668,1.723236334439679,131819172176493.84,164848602587831.8,4.0675806543884105,2.318029299452401,4
"tf::LSTM(10,10)[y,qACId(6)]*n=10,step=28",16.102171421051025,0.0,0.046424886310332994,0.06653731677445308,0.615149290736415,0.4362537894096296,1.8996582983092274,2.1020749682118325,108763788733976.73,174015594700719.56,4.327306739269752,2.4019132800137486,4
"tf::LSTM(20,10)[y,qACId(6)]*n=20,step=28",25.375489473342896,0.0,0.050723777175945825,0.04919032142216119,0.6820437848244675,0.48606501987588085,2.250923641215115,2.4447214381467104,145934647318881.28,180791485696462.4,4.556898836115324,2.4484448414982682,4
"MLP[y,SolarDay%,qACId(7)]",22.20080327987671,0.0,0.0003959495045016403,2.4032054385596236e-05,0.5417529784882038,0.29044175334003963,1.2248174284193478,1.0442922264247037,197756568692972.2,413045692603257.3,3.586903699242925,1.5333260816943677,5
"MLP[SolarDay%,qACId(7)]",22.20080327987671,0.0,0.0003959495045016403,2.4032054385596236e-05,0.5712119324963728,0.29947717663713314,1.3529177099574954,1.1767917679303086,249530122601407.38,726374095060446.5,3.5195897865126287,1.5713675231708633,5
"MLP[y,qACId(7)]",22.20080327987671,0.0,0.0003959495045016403,2.4032054385596236e-05,0.5877198089668426,0.3407170078834308,1.3643746336811287,1.3002755614150145,214635022293859.0,259410166834290.4,3.8017114563522374,2.0520072712391246,5
"LR(12)[SolarDay%,qACId(7)]",0.8312921524047852,0.0,0.0005747853547417686,0.0004928345993659668,0.567960042523967,0.29856460589229555,1.3572832768717624,1.1804011053708405,229714756934353.9,740860453473091.8,3.5330647064224276,1.5448833627421774,5
