,name,instance,k,n,n_steps,FT_Mean,FT_Std,PT_Mean,PT_Std,MAE_Mean,MAE_Std,MSE_Mean,MSE_Std
4,"MLP_qACId[1,4,6][qACId(1),qACId(4),qACId(6),y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",0,2,28,10,"20,20049787",0,"0,101156207","0,02498979","0,553550046","0,353740957","1,398760744","1,246389457"
5,"LSTM_base[y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",0,2,28,10,"58,35554743",0,"0,105933037","0,030382979","0,610930036","0,423429826","1,842871618","1,858330927"
6,"LSTM_qACId1[qACId(1),y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",0,2,28,10,"58,35554743",0,"0,105933037","0,030382979","0,593687821","0,410126755","1,726089234","1,764607217"
7,"LSTM_qACId4[qACId(4),y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",0,2,28,10,"58,35554743",0,"0,105933037","0,030382979","0,601681509","0,424757468","1,804451159","1,97707179"
8,"LSTM_qACId6[qACId(6),y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",0,2,28,10,"58,35554743",0,"0,105933037","0,030382979","0,613635095","0,442162223","1,917744635","2,040693957"
9,"LSTM_qACId[1,4,6][qACId(1),qACId(4),qACId(6),y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",0,2,28,10,"58,35554743",0,"0,105933037","0,030382979","0,60775501","0,411892343","1,789012703","1,824642269"
10,"CNN_base[y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",0,2,28,10,"51,11232162",0,"0,104624947","0,043400103","0,591451249","0,408194156","1,7446025","1,726536269"
11,"CNN_qACId1[qACId(1),y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",0,2,28,10,"51,11232162",0,"0,104624947","0,043400103","0,595531519","0,429389142","1,802809135","1,901511419"
12,"CNN_qACId4[qACId(4),y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",0,2,28,10,"51,11232162",0,"0,104624947","0,043400103","0,595155277","0,416584215","1,798792454","1,818223837"
13,"CNN_qACId6[qACId(6),y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",0,2,28,10,"51,11232162",0,"0,104624947","0,043400103","0,617815027","0,452994458","1,97592155","2,144848943"
14,"CNN_qACId[1,4,6][qACId(1),qACId(4),qACId(6),y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",0,2,28,10,"51,11232162",0,"0,104624947","0,043400103","0,628913597","0,443603004","2,034549438","2,114770434"
0,"MLP_base[y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",1,2,28,10,"20,36738038",0,"0,102635806","0,025120559","0,351573897","0,236646778","0,469488043","0,492960763"
1,"MLP_qACId1[qACId(1),y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",1,2,28,10,"20,36738038",0,"0,102635806","0,025120559","0,333690014","0,239098709","0,443381611","0,456892126"
2,"MLP_qACId4[qACId(4),y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",1,2,28,10,"20,36738038",0,"0,102635806","0,025120559","0,353806188","0,237580983","0,482595059","0,464818234"
3,"MLP_qACId6[qACId(6),y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",1,2,28,10,"20,36738038",0,"0,102635806","0,025120559","0,321248971","0,250316967","0,439838207","0,49125929"
4,"MLP_qACId[1,4,6][qACId(1),qACId(4),qACId(6),y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",1,2,28,10,"20,36738038",0,"0,102635806","0,025120559","0,340250204","0,238818584","0,458301676","0,484253586"
5,"LSTM_base[y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",1,2,28,10,"56,0263586",0,"0,108732957","0,03118659","0,356360373","0,252856035","0,510714869","0,505901705"
6,"LSTM_qACId1[qACId(1),y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",1,2,28,10,"56,0263586",0,"0,108732957","0,03118659","0,356253019","0,257483394","0,507179333","0,527218058"
7,"LSTM_qACId4[qACId(4),y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",1,2,28,10,"56,0263586",0,"0,108732957","0,03118659","0,453215366","0,357333222","0,878717411","1,185325654"
8,"LSTM_qACId6[qACId(6),y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",1,2,28,10,"56,0263586",0,"0,108732957","0,03118659","0,405970816","0,301118203","0,700755902","0,908872292"
9,"LSTM_qACId[1,4,6][qACId(1),qACId(4),qACId(6),y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",1,2,28,10,"56,0263586",0,"0,108732957","0,03118659","0,409737231","0,332185736","0,740485296","0,994542706"
10,"CNN_base[y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",1,2,28,10,"50,67839026",0,"0,104937571","0,0383639","0,305663895","0,278871876","0,449348961","0,5485016"
11,"CNN_qACId1[qACId(1),y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",1,2,28,10,"50,67839026",0,"0,104937571","0,0383639","0,286579132","0,263961345","0,406848259","0,522224876"
12,"CNN_qACId4[qACId(4),y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",1,2,28,10,"50,67839026",0,"0,104937571","0,0383639","0,354011683","0,344817595","0,719519911","1,05405243"
13,"CNN_qACId6[qACId(6),y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",1,2,28,10,"50,67839026",0,"0,104937571","0,0383639","0,342673671","0,294829228","0,576079461","0,715888811"
14,"CNN_qACId[1,4,6][qACId(1),qACId(4),qACId(6),y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",1,2,28,10,"50,67839026",0,"0,104937571","0,0383639","0,375791317","0,340057107","0,722647535","0,880260329"
0,"MLP_base[y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",2,2,28,10,"20,07971072",0,"0,104757526","0,024789074","1,494955377","0,898735032","9,209152205","8,430456682"
1,"MLP_qACId1[qACId(1),y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",2,2,28,10,"20,07971072",0,"0,104757526","0,024789074","1,512423287","0,873502213","9,058610124","7,556666972"
2,"MLP_qACId4[qACId(4),y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",2,2,28,10,"20,07971072",0,"0,104757526","0,024789074","1,516665775","0,877078359","9,217345853","7,741121099"
3,"MLP_qACId6[qACId(6),y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",2,2,28,10,"20,07971072",0,"0,104757526","0,024789074","1,530271419","0,883807968","9,276880832","7,692224731"
4,"MLP_qACId[1,4,6][qACId(1),qACId(4),qACId(6),y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",2,2,28,10,"20,07971072",0,"0,104757526","0,024789074","1,522492207","0,897709104","9,421245758","8,087282424"
5,"LSTM_base[y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",2,2,28,10,"59,34104109",0,"0,119148234","0,044022458","1,614099475","1,026951858","11,28693423","10,79494345"
6,"LSTM_qACId1[qACId(1),y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",2,2,28,10,"59,34104109",0,"0,119148234","0,044022458","1,631840924","1,002259368","11,28236557","10,34199539"
7,"LSTM_qACId4[qACId(4),y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",2,2,28,10,"59,34104109",0,"0,119148234","0,044022458","1,697719154","1,057399981","11,94746685","11,73307569"
8,"LSTM_qACId6[qACId(6),y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",2,2,28,10,"59,34104109",0,"0,119148234","0,044022458","1,666183181","1,040432831","11,5580829","10,78819674"
9,"LSTM_qACId[1,4,6][qACId(1),qACId(4),qACId(6),y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",2,2,28,10,"59,34104109",0,"0,119148234","0,044022458","1,672420783","1,035855648","11,71397415","11,00718642"
10,"CNN_base[y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",2,2,28,10,"51,67320609",0,"0,106372234","0,039646519","1,900020864","1,315367866","17,00893868","18,42698565"
11,"CNN_qACId1[qACId(1),y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",2,2,28,10,"51,67320609",0,"0,106372234","0,039646519","1,659892242","1,000599045","11,28587817","9,843403014"
12,"CNN_qACId4[qACId(4),y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",2,2,28,10,"51,67320609",0,"0,106372234","0,039646519","1,70015418","1,042223796","12,11498195","10,67251555"
13,"CNN_qACId6[qACId(6),y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",2,2,28,10,"51,67320609",0,"0,106372234","0,039646519","1,663559935","0,960488582","11,4590086","9,898592772"
14,"CNN_qACId[1,4,6][qACId(1),qACId(4),qACId(6),y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",2,2,28,10,"51,67320609",0,"0,106372234","0,039646519","1,681929176","0,987573394","11,79879236","10,74624745"
0,"MLP_base[y,Day%,Declination,Elevation,SolarDay%]*n=56,step=10",0,2,56,10,"21,00082016",0,"0,099480229","0,014830727","0,561724754","0,375317438","1,471736953","1,402522471"
1,"MLP_qACId1[qACId(1),y,Day%,Declination,Elevation,SolarDay%]*n=56,step=10",0,2,56,10,"21,00082016",0,"0,099480229","0,014830727","0,570901386","0,37706864","1,500303029","1,421948089"
2,"MLP_qACId4[qACId(4),y,Day%,Declination,Elevation,SolarDay%]*n=56,step=10",0,2,56,10,"21,00082016",0,"0,099480229","0,014830727","0,572467651","0,367874924","1,474366594","1,346543231"
3,"MLP_qACId6[qACId(6),y,Day%,Declination,Elevation,SolarDay%]*n=56,step=10",0,2,56,10,"21,00082016",0,"0,099480229","0,014830727","0,57004119","0,377897396","1,490499423","1,446635249"
4,"MLP_qACId[1,4,6][qACId(1),qACId(4),qACId(6),y,Day%,Declination,Elevation,SolarDay%]*n=56,step=10",0,2,56,10,"21,00082016",0,"0,099480229","0,014830727","0,572466184","0,374038443","1,472225344","1,375142179"
5,"LSTM_base[y,Day%,Declination,Elevation,SolarDay%]*n=56,step=10",0,2,56,10,"68,28868985",0,"0,11115513","0,027409023","0,60033809","0,40473388","1,718648915","1,644248486"
6,"LSTM_qACId1[qACId(1),y,Day%,Declination,Elevation,SolarDay%]*n=56,step=10",0,2,56,10,"68,28868985",0,"0,11115513","0,027409023","0,607641802","0,399539401","1,728417439","1,639956076"
7,"LSTM_qACId4[qACId(4),y,Day%,Declination,Elevation,SolarDay%]*n=56,step=10",0,2,56,10,"68,28868985",0,"0,11115513","0,027409023","0,607211949","0,429963986","1,816632259","1,906073071"
8,"LSTM_qACId6[qACId(6),y,Day%,Declination,Elevation,SolarDay%]*n=56,step=10",0,2,56,10,"68,28868985",0,"0,11115513","0,027409023","0,604729481","0,412611487","1,768735632","1,76502394"
9,"LSTM_qACId[1,4,6][qACId(1),qACId(4),qACId(6),y,Day%,Declination,Elevation,SolarDay%]*n=56,step=10",0,2,56,10,"68,28868985",0,"0,11115513","0,027409023","0,62588134","0,435792666","1,935060375","1,996129658"
10,"CNN_base[y,Day%,Declination,Elevation,SolarDay%]*n=56,step=10",0,2,56,10,"55,81095338",0,"0,109180052","0,044323855","0,618678791","0,441489652","1,89844693","2,103765937"
11,"CNN_qACId1[qACId(1),y,Day%,Declination,Elevation,SolarDay%]*n=56,step=10",0,2,56,10,"55,81095338",0,"0,109180052","0,044323855","0,617935645","0,446637926","1,895392246","2,067535352"
12,"CNN_qACId4[qACId(4),y,Day%,Declination,Elevation,SolarDay%]*n=56,step=10",0,2,56,10,"55,81095338",0,"0,109180052","0,044323855","0,636408544","0,455505739","1,957757569","2,044268167"
13,"CNN_qACId6[qACId(6),y,Day%,Declination,Elevation,SolarDay%]*n=56,step=10",0,2,56,10,"55,81095338",0,"0,109180052","0,044323855","0,615940499","0,430312272","1,838306354","1,940223324"
14,"CNN_qACId[1,4,6][qACId(1),qACId(4),qACId(6),y,Day%,Declination,Elevation,SolarDay%]*n=56,step=10",0,2,56,10,"55,81095338",0,"0,109180052","0,044323855","0,620963031","0,458207936","1,93972611","2,203515191"
0,"MLP_base[y,Day%,Declination,Elevation,SolarDay%]*n=56,step=10",1,2,56,10,"21,49881124",0,"0,102924895","0,042114432","0,352607704","0,228331368","0,464336066","0,493023862"
1,"MLP_qACId1[qACId(1),y,Day%,Declination,Elevation,SolarDay%]*n=56,step=10",1,2,56,10,"21,49881124",0,"0,102924895","0,042114432","0,361123045","0,23081851","0,484977895","0,479979273"
2,"MLP_qACId4[qACId(4),y,Day%,Declination,Elevation,SolarDay%]*n=56,step=10",1,2,56,10,"21,49881124",0,"0,102924895","0,042114432","0,333404168","0,226240559","0,426914244","0,461551609"
3,"MLP_qACId6[qACId(6),y,Day%,Declination,Elevation,SolarDay%]*n=56,step=10",1,2,56,10,"21,49881124",0,"0,102924895","0,042114432","0,335004581","0,23692161","0,447665585","0,501474102"
4,"MLP_qACId[1,4,6][qACId(1),qACId(4),qACId(6),y,Day%,Declination,Elevation,SolarDay%]*n=56,step=10",1,2,56,10,"21,49881124",0,"0,102924895","0,042114432","0,336400382","0,229841729","0,4403746","0,489141493"
5,"LSTM_base[y,Day%,Declination,Elevation,SolarDay%]*n=56,step=10",1,2,56,10,"67,97808385",0,"0,113806995","0,035244698","0,365974627","0,274463998","0,563379895","0,716239938"
