,name,instance,k,n,n_steps,FT_Mean,FT_Std,PT_Mean,PT_Std,MAE_Mean,MAE_Std,MSE_Mean,MSE_Std
5,"LSTM_base[y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",0,100,28,10,55.964049100875854,0.0,0.10843273125651155,0.0306537279997778,0.5912418540092286,0.4011784735866931,1.6900430283137575,1.7224666034723621
6,"LSTM_qACId4[qACId(4),y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",0,100,28,10,55.964049100875854,0.0,0.10843273125651155,0.0306537279997778,0.6074024536383492,0.4369591658731847,1.8574604270637562,2.044546613862337
7,"LSTM_qACId6[qACId(6),y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",0,100,28,10,55.964049100875854,0.0,0.10843273125651155,0.0306537279997778,0.5967145686282719,0.4133916676563444,1.7776000326435342,1.7778267342291882
8,"LSTM_qACId8[qACId(8),y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",0,100,28,10,55.964049100875854,0.0,0.10843273125651155,0.0306537279997778,0.6268702553831104,0.4545720891794593,1.9291434661725158,2.176642128052185
9,"LSTM_qACId[4,6,8][qACId(4),qACId(6),qACId(8),y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",0,100,28,10,55.964049100875854,0.0,0.10843273125651155,0.0306537279997778,0.6022784139117552,0.4147109813801959,1.7737793541659685,1.8336899308303065
0,"MLP_base[y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",1,100,28,10,20.308212280273438,0.0,0.10221664619977096,0.015649850358758922,0.35123761055673536,0.2423037708556116,0.4909057375875747,0.5103803201057782
1,"MLP_qACId4[qACId(4),y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",1,100,28,10,20.308212280273438,0.0,0.10221664619977096,0.015649850358758922,0.3390156875322407,0.2416909758510175,0.4608039491084217,0.47102524900045994
2,"MLP_qACId6[qACId(6),y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",1,100,28,10,20.308212280273438,0.0,0.10221664619977096,0.015649850358758922,0.3379018111492915,0.24284493921783062,0.4550873013644301,0.4930757438483226
3,"MLP_qACId8[qACId(8),y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",1,100,28,10,20.308212280273438,0.0,0.10221664619977096,0.015649850358758922,0.3602314595624625,0.2347751506743681,0.48474011659575267,0.47978371495233985
4,"MLP_qACId[4,6,8][qACId(4),qACId(6),qACId(8),y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",1,100,28,10,20.308212280273438,0.0,0.10221664619977096,0.015649850358758922,0.3338785393149091,0.24621026325163556,0.4627320059024854,0.49549981789093356
5,"LSTM_base[y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",1,100,28,10,57.924283504486084,0.0,0.1089790272513472,0.03136571792145474,0.359075595145386,0.26094009892032677,0.5219944947830734,0.5233931839100849
6,"LSTM_qACId4[qACId(4),y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",1,100,28,10,57.924283504486084,0.0,0.1089790272513472,0.03136571792145474,0.3749039035346225,0.2863580724266215,0.5918337028063027,0.7292289026926412
7,"LSTM_qACId6[qACId(6),y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",1,100,28,10,57.924283504486084,0.0,0.1089790272513472,0.03136571792145474,0.37431849411515666,0.2551722173643954,0.5460834111093588,0.547666866408824
8,"LSTM_qACId8[qACId(8),y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",1,100,28,10,57.924283504486084,0.0,0.1089790272513472,0.03136571792145474,0.36537065208712854,0.2763793529963634,0.5630598782554931,0.6062369892533213
